                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.803,                 3.5198,                 2.1189,                  1.706,                0.51431,                0.45681,                 0.4431,                0.21745,                0.47845,                0.40996,                0.38184,                0.14565,                 1.6782,                 3.6114,                 1.7577,                 1.6939,             0.00065909,             0.00065909,             0.00065909
                      2,                 1.5724,                 2.9416,                 1.5288,                 1.5304,                0.52186,                0.49794,                0.48842,                0.24676,                0.47873,                0.43407,                0.40766,                0.15315,                 1.6921,                 3.6639,                 1.6453,                 1.6075,              0.0012601,              0.0012601,              0.0012601
                      3,                 1.5132,                 2.8684,                 1.4574,                 1.4837,                0.50744,                0.52724,                0.47406,                0.23562,                0.47109,                0.46389,                0.40621,                0.15243,                 1.6867,                 3.8586,                 1.6828,                 1.6434,              0.0017952,              0.0017952,              0.0017952
                      4,                 1.4918,                 2.7893,                 1.4118,                  1.462,                0.58277,                0.53268,                 0.5486,                 0.2939,                0.57558,                0.49027,                0.50458,                0.22313,                 1.5482,                 3.2428,                  1.448,                 1.5313,               0.001703,               0.001703,               0.001703
                      5,                 1.4696,                 2.7287,                 1.3703,                 1.4373,                0.61696,                0.54673,                0.57762,                0.31329,                0.58984,                0.52055,                0.53341,                0.22289,                 1.5152,                 3.1993,                 1.3601,                 1.5057,               0.001604,               0.001604,               0.001604
                      6,                  1.441,                 2.6812,                 1.3295,                 1.4185,                0.63331,                0.56536,                0.60299,                0.34012,                0.62756,                0.55199,                0.58273,                0.28953,                 1.4241,                 2.7915,                 1.3374,                 1.4415,               0.001505,               0.001505,               0.001505
                      7,                  1.421,                 2.6453,                 1.3118,                 1.4084,                0.64028,                0.55782,                0.59996,                0.33406,                0.63607,                0.54858,                 0.5859,                0.29103,                 1.4586,                 2.7643,                 1.3047,                 1.4584,               0.001406,               0.001406,               0.001406
                      8,                  1.415,                  2.613,                 1.2884,                 1.4015,                0.60382,                0.52921,                0.55371,                0.30481,                0.60293,                0.50594,                0.53126,                0.25916,                 1.4587,                 2.8365,                 1.4122,                 1.5157,               0.001307,               0.001307,               0.001307
                      9,                 1.3979,                 2.5975,                 1.2606,                 1.3907,                0.63576,                0.57716,                0.60509,                0.34585,                0.63484,                0.55859,                 0.5847,                0.28289,                 1.4152,                 2.9355,                 1.2817,                   1.41,               0.001208,               0.001208,               0.001208
                     10,                 1.3755,                  2.554,                 1.2493,                  1.382,                0.63912,                0.55702,                0.59852,                 0.3438,                 0.6247,                0.54445,                0.57623,                0.30296,                 1.4044,                 2.6332,                 1.2726,                 1.4561,               0.001109,               0.001109,               0.001109
                     11,                 1.3812,                 2.5601,                 1.3081,                 1.4062,                0.65541,                0.59004,                0.62276,                0.35689,                0.65322,                0.58215,                0.61221,                0.31955,                 1.3771,                 2.6349,                 1.2575,                 1.4093,                0.00101,                0.00101,                0.00101
